Название,Время чтения,Просмотры,Текст,Ключевые слова,Ссылка
История и развитие CAPTCHA,9 мин,Количество просмотров2.4K,"Мы начали с текстовой СAPTCHA и пришли к простой галочке, которую нужно поставить, совершенствуя систему после каждого сбоя.","Информационная безопасность*, Сетевые технологии*",https://habr.com/ru/articles/853748/
Как я получил $5000 за Out-of-Scope XSS,3 мин,Количество просмотров4.6K,"Несколько месяцев назад я получил приглашение участвовать в частной программе bug bounty на платформе HackerOne. Сначала я провел свои обычные тесты и обнаружил различные уязвимости, такие как недостаток управления доступом (BAC), утечка авторизационных токенов других пользователей и т.д.","Информационная безопасность*, Контент и копирайтинг*, Bug hunters*",https://habr.com/ru/articles/853742/
"Получение, обработка, анализ и визуализация спутниковых снимков с помощью библиотек: GDAL, numpy и matplotlib",14 мин,Количество просмотров1.9K,"Эта статья является продолжением цикла статей посвященных развитию стартапа ""Arrow"". Ребята из моей команды тоже не отстают и те, кого больше интересует бизнес-сторона вопроса можете почитать ""Старт проекта и гибкость как залог успеха: путь команды ARROW"", а те кто больше по разработке оставайтесь здесь.  Первая техническая статья на примере нашего проекта освещает проблему построения Веб-ГИС приложения и сервисов. Логика приложения, в том числе, будет реализовывать инструменты получения спутниковых снимков и их обработки по специальным алгоритмам, что позволит решать задачи мониторинга территорий - дешифрировать, классифицировать и кластеризировать объекты и явления местности на основе технологий машинного обучения.",Python*,https://habr.com/ru/articles/853736/
Разбор JIT-Компилятора AsmX и краткая биография его создателя,7 мин,Количество просмотров3.1K,"На выходных я наткнулся на статью от комментатора, в которой был представлен  Обзор языка программирования AsmX. После прочтения этой статьи я решил поискать в Telegram диалоги создателя языка, к которым мы вернемся позже. Цитирую список пунктов от обзорщика Василия, с которыми я полностью согласен:","Open source*, Assembler*",https://habr.com/ru/articles/853730/
Nexus-IoC — хорошо знакомый незнакомец в мире TypeScript и DI,8 мин,Количество просмотров2.5K,"В одном из моих проектов мы использовали библиотеку Inversify для внедрения зависимостей (DI). Хотя это мощное и гибкое решение, его избыточная гибкость со временем обернулась против нас: управление зависимостями становилось всё более запутанным по мере роста приложения. С каждым новым модулем или компонентом код усложнялся, а процесс рефакторинга становился всё более болезненным.","JavaScript*, Node.JS*, TypeScript*, Программирование*",https://habr.com/ru/articles/853722/
OrbStack: Почему я забыл про Docker Desktop,4 мин,Количество просмотров34K,"Работая на MacBook с Docker Desktop, я часто сталкивался с тем, что система становилась менее отзывчивой, особенно при запуске нескольких контейнеров одновременно. Высокая нагрузка на CPU и память заметно влияла на время автономной работы.","Программирование*, Виртуализация*, Софт",https://habr.com/ru/articles/853720/
Как мы создаём Visionatrix: упрощая ComfyUI,10 мин,Количество просмотров981,Добрый день всем.,"Python*, Искусственный интеллект, Обработка изображений*",https://habr.com/ru/articles/853714/
DE-1. DIY ассистент на LLM,9 мин,Количество просмотров8.2K,"Привет Хабр, let's set the future.","Habr, JavaScript*, Python*, Звук, Искусственный интеллект",https://habr.com/ru/articles/853708/
Использование дисперсии при анализе производительности СУБД. Точка излома графика дисперсии,1 мин,Количество просмотров1.4K,Анализ результатов стресс тестирования СУБД.,Математика*,https://habr.com/ru/articles/853702/
Как я преодолел отказ в модерации App Store: история приложения YoloPrice,5 мин,Количество просмотров2.4K,"Привет, я разрабатываю мобильное приложение YoloPrice: оно в реальном времени сравнивает цены на нужный товар во всех ведущих маркетплейсах и магазинах страны.",Разработка мобильных приложений*,https://habr.com/ru/articles/853698/
Индекс цифровой эволюции как способ измерения уровня цифровизации экономики в разных странах,6 мин,Количество просмотров1.8K,"Одним из таких способов стал подсчет индекса цифровой эволюции (Digital Evolution Index), созданного Школой права и дипломатии им. Флетчера (Университет Тафтса, США) совместно с Mastercard. На основании полученных данных страны мира были разделены на четыре траекторных зоны и проранжированы от большего значения индекса цифровой эволюции к меньшему. Различные рейтинги могут формировать мнение людей и выступать мощным оружием в информационных войнах, поэтому важно понимать, кто, как и для чего составляет эти рейтинги.","Открытые данные*, Сетевые технологии*, Финансы в IT",https://habr.com/ru/articles/853686/
Честно и по делу: смотрим на F+ R570E с российской системой на борту,9 мин,Количество просмотров10K,"Я большой фанат Linux на мобильных системах и давно слежу за такими проектами, как Meego, Maemo и конечно же, Sailfish-подобными ОС. Недавно я самолично написал в компанию F+ и попросил какой-нибудь смартфон на ‭«Авроре‭» для статьи и на моё удивление, представители компании согласились! Что из себя представляет R570E, какова ‭«Аврора» с точки зрения обычного пользователя, какие проблемы могут возникнуть у разработчика и есть ли у этой системы перспективы? Читайте в сегодняшней статье!","Блог компании Timeweb Cloud, Смартфоны, *nix*, Настройка Linux*, Разработка мобильных приложений*",https://habr.com/ru/companies/timeweb/articles/852988/
Где циклу while нет альтернативы,4 мин,Количество просмотров3.7K,"Уверен многие тру-программисты и без меня это знают, но я решился опубликовать пару реализаций циклов через while, которыми я активно пользуюсь, как автоматизатор, тестировщик и разработчик ETL.","Python*, SQL*, Oracle*",https://habr.com/ru/articles/853682/
Движки браузеров и их влияние на проведение тестирования,6 мин,Количество просмотров2.1K,"Привет, Хабр!",Тестирование веб-сервисов*,https://habr.com/ru/articles/853680/
Межсетевые экраны в 2024 году,15 мин,Количество просмотров8.1K,"Статья посвящена межсетевым экранам (МЭ), их функционалу, архитектуре, и ключевым параметрам. Автор рассматривает функциональные возможности присущие межсетевым экранам на момент 2024 года без привязки к конкретным производителям. В статье уделено внимание архитектуре и аппаратным компонентам, их влиянию на производительность. Особое внимание уделено реализации в МЭ задач позволяющих обеспечить надежность и управляемость решений.","Информационная безопасность*, Сетевые технологии*, Системное администрирование*, IT-инфраструктура*, Исследования и прогнозы в IT*",https://habr.com/ru/articles/853674/
Как трассировать требования бизнеса в программный код и не сойти с ума,4 мин,Количество просмотров1.6K,"Рассмотрим либо небольшую фирму на несколько десятков сотрудников, чуть менее чем полностью занятых разработкой ПО, либо такого же размера департамент более крупной компании, полностью занятый разработкой ПО. Есть верхний менеджмент, ставящий бизнес-задачи, есть начальники среднего звена, распределяющие задачи по исполнителям, и есть линейный персонал, в том числе программисты, обычные и ведущие.","Управление проектами*, Управление разработкой*, Управление продуктом*, Анализ и проектирование систем*, Подготовка технической документации*",https://habr.com/ru/articles/853666/
Азартная разработка iOS приложения игры 2048 с ChatGPT,32 мин,Количество просмотров1.5K,"Я хочу поделиться с вами опытом создания ""с нуля""  iOS приложения известной игры 2048 с элементами ИИ (искусственного интеллекта) в SwiftUI с помощью ChatGPT .","Разработка под iOS*, Разработка мобильных приложений*, Swift*, Искусственный интеллект",https://habr.com/ru/articles/851904/
Тестирование на проникновение в веб-приложении VAmPI,15 мин,Количество просмотров2.2K,"Привет, уважаемый читатель!","Блог компании Кооператив RAD COP, Информационная безопасность*, GitHub*, CTF*, API*",https://habr.com/ru/companies/radcop/articles/853660/
Kafka. Лучшие практики применения. Настройки Producer & Consumer,20 мин,Количество просмотров22K,"Привет, Хабр!","API*, Анализ и проектирование систем*, Python*, IT-инфраструктура*, Микросервисы*",https://habr.com/ru/articles/853652/
Вычисления с GPU-ускорением на Python,9 мин,Количество просмотров7K,"GPU, также именуемый «видеокартой» или «графическим процессором» – это важнейший компонент компьютера, отвечающий за отображение картинок и видео. Графический процессор, в отличие от обычного ЦП (CPU), превосходно дробит задачи на подзадачи и распараллеливает их. В GPU всегда много ядер, поэтому вычисления на нём выполняются более эффективно. Поэтому GPU идеально подходит для многозадачности. В следующей таблице даётся упрощённое сравнение CPU и GPU.","Блог компании Timeweb Cloud, Процессоры, Высокая производительность*, Python*, Программирование*",https://habr.com/ru/companies/timeweb/articles/853578/
"«Да будет свет!», — подумали мы. И стал свет. Краткая история обучения нейросветодизайнера нейросветодизайну",6 мин,Количество просмотров773,"Давным-давно, скажем, этим летом, нас посетила удачная мысль включить повсюду свет и озарить ночные города. Так родился проект по обучению нейросети сложному искусству светодизайна.","Big Data*, GPGPU*, IT-компании, Будущее здесь",https://habr.com/ru/articles/853552/
"«Да будет свет!», — подумали мы. И стал свет. Краткая история обучения нейросветодизайнера нейросветодизайну",6 мин,Количество просмотров773,"Давным-давно, скажем, этим летом, нас посетила удачная мысль включить повсюду свет и озарить ночные города. Так родился проект по обучению нейросети сложному искусству светодизайна.","Big Data*, GPGPU*, IT-компании, Будущее здесь",https://habr.com/ru/articles/853552/
"LLM может довольно изобретательно разгадывать хитрые загадки, но не всегда",7 мин,Количество просмотров2.2K,"Когнитивные способности LLM можно оценивать по способности мыслить логически и строить цепочки рассуждений, а можно по способности разгадывать загадки, требующие смекалки и нестандартного мышления. Почему-то всё внимание направлено только на первое и совсем не исследовано второе.","Искусственный интеллект, Машинное обучение*, Исследования и прогнозы в IT*, Занимательные задачки",https://habr.com/ru/articles/853632/
"Как я создал Telegram-бота, который помогает готовить из любых продуктов",8 мин,Количество просмотров8.6K,"Идея создания «CyberChiefCooker» возникла у меня в студенческие годы, когда я часто оказывался в ситуации, когда нужно было готовить, а под рукой был лишь набор случайных продуктов. Жизнь студента была насыщенной и ограниченной в плане финансов, поэтому зачастую приходилось выкручиваться из того, что есть в холодильнике. Однажды я поймал себя на мысли, что совсем не знаю, что можно приготовить из этих оставшихся продуктов, и эта мысль стала началом пути к созданию бота.",Python*,https://habr.com/ru/articles/853630/
Two-Tier Data Model архитектура: концепт и мысли,12 мин,Количество просмотров1.6K,"Краткая цель статьи — сделать потоки данных проще, более тестируемыми и управляемыми с DTO и Runtime Model структурой.","Dart*, Data Engineering*, Flutter*, IT-стандарты*, Функциональное программирование*",https://habr.com/ru/articles/853622/
Как мы интегрировали BILLmanager с amoCRM и построили конвейер данных для отдела продаж,7 мин,Количество просмотров1.2K,"В нашем BILLmanager есть встроенные возможности CRM-системы. С его помощью можно вести базу клиентов, отслеживать историю покупок, закреплять за клиентами менеджеров. Но основной сценарий использования платформы — автоматизация продаж услуг и всего, что с этим связано, а для получения более продвинутых фич желательно использовать стороннюю CRM. Для нас это amoCRM.","Блог компании ISPsystem, Биллинговые системы*, CRM-системы*, Интернет-маркетинг*, Управление продажами*",https://habr.com/ru/companies/ispsystem/articles/853592/
Как мы сделали систему для спасения интернета от токсичности,5 мин,Количество просмотров3.7K,"Токсичность в интернете — распространенная проблема, с которой сталкивался каждый. В период бурного развития AI само собой напрашивается решение для автоматического удаления токсичных паттернов с сохранением исходного смысла и оригинального стиля автора. Один из таких подходов - использование NLP seq2seq моделей, которые мы обучаем на парах (тоcкичное предложение; нетоксичное предложение):","Big Data*, Natural Language Processing*",https://habr.com/ru/articles/853586/
Создание пользовательского интерфейса для модуля Webhook с помощью Angular,26 мин,Количество просмотров760,Предыдущая статья: Создание конфигурируемого Webhook-модуля для NestJS-приложении,"Angular*, NestJS*, TypeScript*, Тестирование веб-сервисов*, Дизайн",https://habr.com/ru/articles/853582/
Собираем подводного робота (видео),1 мин,Количество просмотров3.6K,"Несмотря на бурное развитие подводных дронов (по науке - Автономные и управляемые необитаемые подводные аппараты (АНПА, ROV, UUV, AUV), большая часть из них представляет собой винтовую конструкцию на раме, при необходимости дополненную полезной нагрузкой.","Робототехника, Разработка робототехники*, DIY или Сделай сам, Развитие стартапа, Мультикоптеры",https://habr.com/ru/articles/853556/
Cтатистика Байеса в ML для самых маленьких,19 мин,Количество просмотров7.3K,"Байесовская статистика — это что-то вроде античного оракула в современном мире данных. Она не просто предсказывает будущее, она делает это с потрясающей уверенностью, опираясь на всё, что знает (или думает, что знает) о прошлом. Представьте себе модель машинного обучения, которая не довольствуется лишь холодными числами и вероятностями, полученными из текущих данных.","Статистика в IT, Машинное обучение*, Искусственный интеллект, Математика*",https://habr.com/ru/articles/853560/
Асинхронный Rust в трех частях. Часть первая: Futures,14 мин,Количество просмотров3.6K,Введение,"Блог компании Beget, Программирование*, Rust*",https://habr.com/ru/companies/beget/articles/853540/
Sentinel C++20. Пишем свой Sentinel,5 мин,Количество просмотров4.8K,"О понятии Sentinel говорят мало, особенно в русскоязычном пространстве. Вместе с Юрием Вашинко, опытным тимлидом и спикером нашего курса «С++ разработчик» сегодня рассмотрим, что такое Sentinel и как его использовать:  В каждом разработчике С++ (до 17 версии) прочно укоренилось понятие итератора, на котором построена по сути вся работа со контейнерами в STL. Но бывают случаи, когда приходится отказываться от использования алгоритмов в угоду собственных реализаций, т.к. они оказываются более выгодными с точки зрения эффективности.","Блог компании Слёрм, C++*",https://habr.com/ru/companies/slurm/articles/853526/
Что значит «SafeCode»: о чём расскажут на конференции по безопасности приложений,10 мин,Количество просмотров727,«Безопасный код» — понятие широкое. Так что по названию онлайн-конференции SafeCode 2024 может быть непонятно: о чём пойдёт речь в докладах? Для кого это будет?,"Блог компании JUG Ru Group, Информационная безопасность*, Конференции",https://habr.com/ru/companies/jugru/articles/853514/
От Junior до Team Lead меньше чем за 2 года,14 мин,Количество просмотров23K,"Всем привет! Меня зовут Дмитрий Лёвочкин, я Flutter Team Lead в компании Friflex, а также автор блога «Дневник Flutter-разработчика».","Блог компании Friflex, Flutter*, Карьера в IT-индустрии",https://habr.com/ru/companies/friflex/articles/853512/
Деплой без стресса: автоматизируем процесс для Telegram-ботов,8 мин,Количество просмотров4.5K,Пользователь,"Блог компании Selectel, Python*, Веб-разработка*, Программирование*",https://habr.com/ru/companies/selectel/articles/844814/
iOS 18 для разработчиков: Ключевые изменения в UIKit,17 мин,Количество просмотров3.3K,"Привет! Меня зовут Лена, я работаю iOS-разработчиком в KTS. Недавно вышла новая версия iOS 18, и я решила подробно изучить все нововведения, чтобы понять, какие новые возможности она предлагает разработчикам. В этой статье расскажу и покажу самые интересные обновления в UIKit — новый TabBar, анимации, совместимость UIKit/SwiftUI и многое другое.","Блог компании KTS, Разработка под iOS*, Разработка мобильных приложений*, Swift*",https://habr.com/ru/companies/kts/articles/852764/
Какую архитектуру конвейера данных следует использовать?,7 мин,Количество просмотров5.1K,Пользователь,"Блог компании Издательский дом «Питер», Big Data*, Анализ и проектирование систем*, Хранилища данных*",https://habr.com/ru/companies/piter/articles/853400/
Динамическая презентация или как закодить слайд с помощью Markdown и WL,24 мин,Количество просмотров2.3K,"Идея с программной генерацией слайдов и рисунков презентации, отчета, лекционных заметок для студентов не нова, в частности сегодня вы можете создавать их с помощью Python (правда только через Power Point API), HTML, JSX, Julia, etc. Последние основаны на похожих идеях интегрирования декларативной разметки в роде Markdown + HTML и мы пойдем по их пути, расширяя это динамическими элементами, компонентами и привязкой к событиям. Звучит сложно, однако конечна цель состоит в противоположном.","Веб-разработка*, Презентации, Программирование*",https://habr.com/ru/articles/853496/
Почему я скептично отношусь к переписыванию JS-инструментов на «быстрых» языках,6 мин,Количество просмотров17K,Переводчик,"Блог компании RUVDS.com, JavaScript*, Rust*, Zig*, Высокая производительность*",https://habr.com/ru/companies/ruvds/articles/852694/
Как сделать кликер на Scratch с нуля – урок для детей,7 мин,Количество просмотров1.7K,"Сделать игру кликер в Scratch – это просто. Хотим доказать и предложить наглядную пошаговую инструкцию со скриншотами: с ней справится даже новичок. Сразу отметим, что для успешного выполнения проекта желательно понимание Скретча: если есть опыт работы в программе или в Scratch Junior, все получится.","Блог компании Пиксель, Учебный процесс в IT, Программирование*, Визуальное программирование*, Разработка игр*",https://habr.com/ru/companies/pixel_study/articles/853488/
"Machine Learning в онлайн-кинотеатрах: как повысить время смотрения и понять, что одного ML мало. Часть 1",5 мин,Количество просмотров1.7K,"Привет, Хабр. Меня зовут Алексей Жиряков, и я техлид backend-команды витрины онлайн-кинотеатра KION. Этот текст написан по мотивам моего выступления на МТС True Tech Day.","Блог компании МТС, Управление продуктом*, Облачные сервисы*, Искусственный интеллект, Машинное обучение*",https://habr.com/ru/companies/ru_mts/articles/853474/
Анализ и оптимизация проблемы задержек и пропуска кадров в анимации загрузки,7 мин,Количество просмотров547,"На новом устройстве тестировщики заметили баг: при загрузке система сильно фризит, а анимация идет рывками и пропускает кадры, из-за чего она выглядит дерганой и неплавной. Анализ показал, что это вызвано новой функцией в Android, которая активируется только на более свежих версиях системы. Эта проблема отличается от тех, что мы встречали раньше.",Разработка под Android*,https://habr.com/ru/articles/853472/
Как работать с разрешениями для чтения и записи файлов в Android 13+ на примере React Native,10 мин,Количество просмотров1.3K,В МойОфис мы разрабатываем iOS- и Android-приложения цифрового рабочего пространства Squadus с помощью кроссплатформенного фреймворка React Native. В функциональность нашего приложения входит загрузка и отправка различных вложений другим пользователям.,"Блог компании МойОфис, Информационная безопасность*, Разработка под Android*, Разработка мобильных приложений*",https://habr.com/ru/companies/ncloudtech/articles/853116/
Нос по ветру: как наш DNS-сниффер помогает искать Blind-уязвимости,3 мин,Количество просмотров1.7K,"Всем привет! В блоге центра исследования киберугроз Solar 4RAYS мы продолжаем делиться результатами расследований инцидентов, полезными инструментами для ИБ-специалистов и другими практическими материалами, часть которых мы размещаем и здесь.","Блог компании Солар, Информационная безопасность*",https://habr.com/ru/companies/solarsecurity/articles/853460/
70% безработных в мире к 2030 году. Что дальше? Поможет ли базовый доход?,3 мин,Количество просмотров4.7K,"От оптимизма оптимистов о том, что нем не страшен ИИ серый волк.  Мол, были уже все эти технологии, все боялись, но в итоге всё было хорошо — люди находили работу. У меня прям случился приступ, я не выдержал и психанул.  Посчитал на салфетке, а что там по цифрам на данный момент, кому вообще новую работу будем искать и сколько можно новых рабочих мест зафигачить. Это салфетка , не научная статья с глубокими исследованиями, но мочить меня в комментариях очень приветствуется. Ну и кто дочитает до конца, большой молодец.","Машинное обучение*, Исследования и прогнозы в IT*",https://habr.com/ru/articles/853456/
Last call по заявкам на IT-стажировку Kaspersky Safeboard,1 мин,Количество просмотров2.6K,Пользователь,"Блог компании «Лаборатория Касперского», IT-компании, Карьера в IT-индустрии, Программирование*, Учебный процесс в IT",https://habr.com/ru/companies/kaspersky/articles/853402/
Проектирование эффективной системы кэширования,9 мин,Количество просмотров3.9K,"Кэширование ― одна из важнейших практик в проектировании современных высоконагруженных ИТ-систем. Статья позволит почерпнуть практический опыт проектирования механизма кэширования и будет интересна системным аналитикам, проектировщикам систем и архитекторам высоконагруженных систем.",Анализ и проектирование систем*,https://habr.com/ru/articles/853340/
"Какой джун без гитхаба и хоть одного дипломного проекта, казалось бы? А ВОТ`!`",7 мин,Количество просмотров3.5K,"Заранее извиняюсь за кликбейтный заголовок, это цитата из твиттеровского треда о котором пойдет речь ниже, с сохранением пунктуации. Пост получился длинный, наполнен эмоциями и личным мнением и вообще не технический, но так вышло. Иногда слова цепляют почище всяких крючков и бьют сильнее кулака.","Управление персоналом*, Разработка игр*, IT-компании, Исследования и прогнозы в IT*",https://habr.com/ru/articles/853296/
Архитектура обучения будущего? Или краткий обзор Total Learning Architecture (TLA),51 мин,Количество просмотров964,Статья является некоторым продолжением моих статей по теме стандартов в области обучения персонала.,"Управление персоналом*, Образование за рубежом, Учебный процесс в IT, IT-стандарты*",https://habr.com/ru/articles/853440/
Мобильный гейминг — тоже круто: топ игр на телефон для iOS и Android,12 мин,Количество просмотров14K,"Во что поиграть с телефона, если «три в ряд» уже надоели","Блог компании Skillfactory, Разработка игр*, Игры и игровые консоли",https://habr.com/ru/companies/skillfactory/articles/853438/
Крутить или не крутить?,4 мин,Количество просмотров4.8K,"В нашем увлекательном путешествии по миру IT, мы сталкиваемся с множеством вызовов и возможностей. Одной из самых обсуждаемых тем сегодня является накрутка опыта. С каждым днем она набирает все большую популярность, и я никогда не мог представить, что эта тема вызовет такой ажиотаж.","Разработка мобильных приложений*, Разработка под Android*",https://habr.com/ru/articles/853408/
Корректное завершение работы подов в Kubernetes,18 мин,Количество просмотров7.5K,"Примечание переводчика: это не первый наш перевод материалов Learnk8s и её управляющего директора Daniele Polencic. В благодарность за интересную статью мы оставляем здесь ссылку на страницу компании. Learnk8s специализируется на обучении Kubernetes и предлагает очные и онлайн-курсы под руководством опытных инструкторов, оказывает консультационные услуги и проводит публичные воркшопы. Также на их сайте вы найдёте интересные исследования. На этом передаём слово автору.","Блог компании Флант, Kubernetes*, DevOps*, Облачные вычисления*, Облачные сервисы*",https://habr.com/ru/companies/flant/articles/853210/
Полное руководство по обработке ошибок в Python,15 мин,Количество просмотров8.7K,Переводчик-фрилансер,"Python*, Отладка*, Программирование*",https://habr.com/ru/articles/853056/
Практика создания и внедрения единого стайлгайда для команды разработчиков,8 мин,Количество просмотров2.3K,"Каждый разработчик приходит в новую команду со своими привычками, видением и стереотипами о процессе разработки, инструментах, оформлении кода. Волей‑неволей, он немного холиварит с коллегами, отстаивая их. Это естественное явление, но иногда оно может вносить неразбериху и отнимать драгоценное время.","Блог компании Точка, Управление разработкой*, Управление персоналом*, IT-стандарты*",https://habr.com/ru/companies/tochka/articles/853110/
Микросервисы: Почему именно gRPC?,5 мин,Количество просмотров17K,,"Go*, Микросервисы*",https://habr.com/ru/articles/853392/
А у вас есть проблемы с репозиториями?,1 мин,Количество просмотров2.1K,"Всем привет! Меня зовут Антон Володченко, в Positive Technologies занимаюсь разработкой продуктов на стыке ИТ, ИБ и R&D. Этим небольшим постом я хотел бы чуть сблизиться с нашей аудиторией и побольше узнать, что вас волнует в контексте работы с репозиториями пакетов, образов, библиотек. Это поможет нам в расстановке приоритетов в рамках разработки нового, пока не анонсированного продукта. Интересно будет мнение активных участников DevOps-процессов, небольших команд, да и просто разработчиков-фрилансеров.","Блог компании Positive Technologies, Программирование*, DevOps*, Информационная безопасность*",https://habr.com/ru/companies/pt/articles/853212/
Автоматизированное тестирование графических приложений и сценариев установки,13 мин,Количество просмотров1.1K,"Одна из самых сложных задач в разработке и поддержке операционных систем – тестирование графических приложений и сценариев установки. Процесс усложняется постоянными обновлениями дистрибутива, увеличением количества пакетов, различными редакциями и вариантами установки ОС, а также множеством архитектур (x86_64, aarch64 и т.д).","Блог компании Инферит, Тестирование IT-систем*, Операционные системы, Разработка под Linux*",https://habr.com/ru/companies/inferit/articles/853374/
Как мы отбираем и обучаем разметчиков: от первых шагов до реальных проектов,4 мин,Количество просмотров1K,"В чем секрет качественных данных и точной разметки? Мы в Data Light знаем: за каждым успешным проектом стоят не только технологии, но и люди — специалисты, отобранные после нескольких этапов тестирований и обученные на настоящих проектах.","Блог компании Data Light, Data Mining*, Big Data*, Искусственный интеллект",https://habr.com/ru/companies/data_light/articles/853372/
Что скрывается за кулисами CTF-турнира: наш опыт проведения соревнования,8 мин,Количество просмотров2.5K,Инженер ИБ,"Блог компании Selectel, CTF*, Информационная безопасность*, Сетевые технологии*, Хакатоны",https://habr.com/ru/companies/selectel/articles/853346/
Почему Mercurial не смог угнаться за Git (и чем они отличаются под капотом),9 мин,Количество просмотров4.7K,"Привет, я Александр, разработчик из команды Битрикс24. В этой статье разбираюсь в особенностях распределенной системы управления версиями Mercurial. Хотя она появилась одновременно с Git и похожа на него внешне, успеха достичь не смогла. Почему так получилось, как она работает, для каких проектов подходит — обо всем ниже.","Блог компании Битрикс24, Mercurial*, Git*",https://habr.com/ru/companies/bitrix/articles/853064/
